Indicator,Year,WHO region,"Countries, territories and areas",Gender,Display Value,Numeric
Healthy life expectancy (HALE) at birth (years),2000,Eastern Mediterranean,Afghanistan,Male,46.9,46.93113
Healthy life expectancy (HALE) at age 60 (years),2000,Eastern Mediterranean,Afghanistan,Male,10.2,10.22541
Healthy life expectancy (HALE) at age 60 (years),2000,Eastern Mediterranean,Afghanistan,Female,10.1,10.11293
Healthy life expectancy (HALE) at birth (years),2010,Eastern Mediterranean,Afghanistan,Female,50.7,50.74652
Healthy life expectancy (HALE) at age 60 (years),2000,Eastern Mediterranean,Afghanistan,Both,10.2,10.16798
Healthy life expectancy (HALE) at birth (years),2010,Eastern Mediterranean,Afghanistan,Both,51.1,51.13087
Healthy life expectancy (HALE) at age 60 (years),2000,Africa,Angola,Male,9.7,9.66284
Healthy life expectancy (HALE) at birth (years),2010,Africa,Angola,Male,49.3,49.27284
Healthy life expectancy (HALE) at birth (years),2010,Africa,Angola,Female,52.0,51.97081
Healthy life expectancy (HALE) at age 60 (years),2010,Africa,Angola,Female,12.9,12.94383
Healthy life expectancy (HALE) at birth (years),2010,Africa,Angola,Both,50.6,50.5654
Healthy life expectancy (HALE) at age 60 (years),2010,Africa,Angola,Both,11.9,11.90608
Healthy life expectancy (HALE) at birth (years),2010,Europe,Albania,Male,66.3,66.33651
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Albania,Male,15.7,15.67845
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Albania,Female,17.7,17.71132
Healthy life expectancy (HALE) at birth (years),2015,Europe,Albania,Female,70.1,70.12115
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Albania,Both,16.7,16.70629
Healthy life expectancy (HALE) at birth (years),2015,Europe,Albania,Both,69.0,69.02539
Healthy life expectancy (HALE) at age 60 (years),2010,Eastern Mediterranean,United Arab Emirates,Male,13.9,13.85226
Healthy life expectancy (HALE) at birth (years),2015,Eastern Mediterranean,United Arab Emirates,Male,65.3,65.26273
Healthy life expectancy (HALE) at age 60 (years),2015,Eastern Mediterranean,United Arab Emirates,Male,13.7,13.73477
Healthy life expectancy (HALE) at birth (years),2015,Eastern Mediterranean,United Arab Emirates,Female,65.7,65.71811
Healthy life expectancy (HALE) at age 60 (years),2015,Eastern Mediterranean,United Arab Emirates,Female,14.9,14.92032
Healthy life expectancy (HALE) at birth (years),2015,Eastern Mediterranean,United Arab Emirates,Both,65.4,65.44885
Healthy life expectancy (HALE) at age 60 (years),2015,Eastern Mediterranean,United Arab Emirates,Both,14.1,14.08675
Healthy life expectancy (HALE) at birth (years),2015,Americas,Argentina,Male,64.9,64.94321
Healthy life expectancy (HALE) at age 60 (years),2015,Americas,Argentina,Male,14.7,14.65216
Healthy life expectancy (HALE) at birth (years),2019,Americas,Argentina,Male,65.4,65.40311
Healthy life expectancy (HALE) at age 60 (years),2015,Americas,Argentina,Female,17.6,17.63098
Healthy life expectancy (HALE) at birth (years),2019,Americas,Argentina,Female,68.8,68.76596
Healthy life expectancy (HALE) at age 60 (years),2015,Americas,Argentina,Both,16.2,16.2391
Healthy life expectancy (HALE) at birth (years),2019,Americas,Argentina,Both,67.1,67.12776
Healthy life expectancy (HALE) at birth (years),2019,Europe,Armenia,Male,64.9,64.8828
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Armenia,Male,14.2,14.24673
Healthy life expectancy (HALE) at birth (years),2019,Europe,Armenia,Female,69.1,69.10166
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Armenia,Female,16.9,16.91868
Healthy life expectancy (HALE) at birth (years),2019,Europe,Armenia,Both,67.1,67.11749
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Armenia,Both,15.7,15.72817
Healthy life expectancy (HALE) at age 60 (years),2019,Americas,Antigua and Barbuda,Male,15.3,15.27109
Healthy life expectancy (HALE) at birth (years),2000,Americas,Antigua and Barbuda,Female,67.0,67.04361
Healthy life expectancy (HALE) at age 60 (years),2019,Americas,Antigua and Barbuda,Female,16.3,16.34362
Healthy life expectancy (HALE) at birth (years),2000,Americas,Antigua and Barbuda,Both,65.5,65.53024
Healthy life expectancy (HALE) at age 60 (years),2019,Americas,Antigua and Barbuda,Both,15.8,15.82564
Healthy life expectancy (HALE) at birth (years),2000,Western Pacific,Australia,Male,67.2,67.16424
Healthy life expectancy (HALE) at birth (years),2000,Western Pacific,Australia,Female,70.0,69.97304
Healthy life expectancy (HALE) at age 60 (years),2000,Western Pacific,Australia,Female,18.4,18.44876
Healthy life expectancy (HALE) at birth (years),2000,Western Pacific,Australia,Both,68.6,68.57265
Healthy life expectancy (HALE) at age 60 (years),2000,Western Pacific,Australia,Both,17.3,17.307
Healthy life expectancy (HALE) at birth (years),2000,Europe,Austria,Male,66.3,66.34692
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Austria,Male,15.1,15.10154
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Austria,Female,18.0,18.02673
Healthy life expectancy (HALE) at birth (years),2010,Europe,Austria,Female,71.4,71.4039
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Austria,Both,16.7,16.73284
Healthy life expectancy (HALE) at birth (years),2010,Europe,Austria,Both,69.9,69.9159
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Azerbaijan,Male,12.1,12.08624
Healthy life expectancy (HALE) at birth (years),2010,Europe,Azerbaijan,Male,60.1,60.06379
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Azerbaijan,Male,12.0,11.96388
Healthy life expectancy (HALE) at birth (years),2010,Europe,Azerbaijan,Female,63.4,63.40581
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Azerbaijan,Female,13.7,13.70208
Healthy life expectancy (HALE) at birth (years),2010,Europe,Azerbaijan,Both,61.7,61.70727
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Azerbaijan,Both,12.9,12.87587
Healthy life expectancy (HALE) at age 60 (years),2010,Africa,Burundi,Male,11.0,11.03197
Healthy life expectancy (HALE) at birth (years),2015,Africa,Burundi,Male,52.4,52.37158
Healthy life expectancy (HALE) at age 60 (years),2010,Africa,Burundi,Female,12.8,12.83018
Healthy life expectancy (HALE) at birth (years),2015,Africa,Burundi,Female,55.6,55.55806
Healthy life expectancy (HALE) at age 60 (years),2010,Africa,Burundi,Both,12.0,11.98482
Healthy life expectancy (HALE) at birth (years),2015,Africa,Burundi,Both,54.0,53.96414
Healthy life expectancy (HALE) at birth (years),2015,Europe,Belgium,Male,69.1,69.10521
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Belgium,Male,16.8,16.80977
Healthy life expectancy (HALE) at birth (years),2015,Europe,Belgium,Female,70.8,70.8349
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Belgium,Female,18.8,18.82646
Healthy life expectancy (HALE) at birth (years),2015,Europe,Belgium,Both,70.0,69.9943
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Belgium,Both,17.9,17.86398
Healthy life expectancy (HALE) at age 60 (years),2015,Africa,Benin,Male,11.9,11.91045
Healthy life expectancy (HALE) at birth (years),2019,Africa,Benin,Male,54.5,54.46505
Healthy life expectancy (HALE) at age 60 (years),2015,Africa,Benin,Female,13.4,13.43607
Healthy life expectancy (HALE) at birth (years),2019,Africa,Benin,Female,56.6,56.57446
Healthy life expectancy (HALE) at age 60 (years),2015,Africa,Benin,Both,12.7,12.72947
Healthy life expectancy (HALE) at birth (years),2019,Africa,Benin,Both,55.5,55.51936
Healthy life expectancy (HALE) at birth (years),2019,Africa,Burkina Faso,Male,53.4,53.39169
Healthy life expectancy (HALE) at age 60 (years),2019,Africa,Burkina Faso,Male,11.6,11.6123
Healthy life expectancy (HALE) at birth (years),2019,Africa,Burkina Faso,Female,56.3,56.2584
Healthy life expectancy (HALE) at age 60 (years),2019,Africa,Burkina Faso,Female,13.4,13.39886
Healthy life expectancy (HALE) at birth (years),2019,Africa,Burkina Faso,Both,54.9,54.86125
Healthy life expectancy (HALE) at age 60 (years),2019,Africa,Burkina Faso,Both,12.6,12.61389
Healthy life expectancy (HALE) at birth (years),2000,South-East Asia,Bangladesh,Male,56.6,56.6199
Healthy life expectancy (HALE) at age 60 (years),2019,South-East Asia,Bangladesh,Male,15.4,15.35991
Healthy life expectancy (HALE) at birth (years),2000,South-East Asia,Bangladesh,Female,57.6,57.55227
Healthy life expectancy (HALE) at age 60 (years),2019,South-East Asia,Bangladesh,Female,15.7,15.65715
Healthy life expectancy (HALE) at birth (years),2000,South-East Asia,Bangladesh,Both,57.0,57.04773
Healthy life expectancy (HALE) at birth (years),2000,Europe,Bulgaria,Male,61.2,61.18507
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Bulgaria,Male,12.3,12.30488
Healthy life expectancy (HALE) at birth (years),2000,Europe,Bulgaria,Female,66.0,66.0047
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Bulgaria,Female,14.9,14.91094
Healthy life expectancy (HALE) at birth (years),2000,Europe,Bulgaria,Both,63.5,63.53907
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Bulgaria,Both,13.7,13.66152
Healthy life expectancy (HALE) at age 60 (years),2000,Eastern Mediterranean,Bahrain,Male,10.9,10.88668
Healthy life expectancy (HALE) at birth (years),2010,Eastern Mediterranean,Bahrain,Male,65.3,65.27984
Healthy life expectancy (HALE) at age 60 (years),2000,Eastern Mediterranean,Bahrain,Female,11.4,11.38741
Healthy life expectancy (HALE) at birth (years),2010,Eastern Mediterranean,Bahrain,Female,64.3,64.34615
Healthy life expectancy (HALE) at age 60 (years),2000,Eastern Mediterranean,Bahrain,Both,11.1,11.10449
Healthy life expectancy (HALE) at birth (years),2010,Eastern Mediterranean,Bahrain,Both,65.0,65.04232
Healthy life expectancy (HALE) at birth (years),2010,Americas,Bahamas,Male,62.2,62.20318
Healthy life expectancy (HALE) at age 60 (years),2010,Americas,Bahamas,Male,14.9,14.90555
Healthy life expectancy (HALE) at birth (years),2010,Americas,Bahamas,Female,66.4,66.4076
Healthy life expectancy (HALE) at age 60 (years),2010,Americas,Bahamas,Female,17.2,17.23286
Healthy life expectancy (HALE) at birth (years),2010,Americas,Bahamas,Both,64.3,64.30935
Healthy life expectancy (HALE) at age 60 (years),2010,Americas,Bahamas,Both,16.1,16.13043
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Bosnia and Herzegovina,Male,13.9,13.9181
Healthy life expectancy (HALE) at birth (years),2015,Europe,Bosnia and Herzegovina,Male,65.4,65.41904
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Bosnia and Herzegovina,Female,16.1,16.05747
Healthy life expectancy (HALE) at birth (years),2015,Europe,Bosnia and Herzegovina,Female,68.5,68.47396
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Bosnia and Herzegovina,Both,15.1,15.06787
Healthy life expectancy (HALE) at birth (years),2015,Europe,Bosnia and Herzegovina,Both,67.0,66.96765
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Bosnia and Herzegovina,Both,15.0,15.04338
Healthy life expectancy (HALE) at birth (years),2015,Europe,Belarus,Male,61.2,61.22011
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Belarus,Male,11.9,11.90697
Healthy life expectancy (HALE) at birth (years),2015,Europe,Belarus,Female,68.7,68.68392
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Belarus,Female,16.7,16.74561
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Belarus,Both,14.7,14.67915
Healthy life expectancy (HALE) at birth (years),2019,Europe,Belarus,Both,66.0,65.97392
Healthy life expectancy (HALE) at age 60 (years),2015,Americas,Belize,Male,16.0,15.99325
Healthy life expectancy (HALE) at birth (years),2019,Americas,Belize,Male,63.5,63.47738
Healthy life expectancy (HALE) at age 60 (years),2015,Americas,Belize,Female,17.5,17.52
Healthy life expectancy (HALE) at birth (years),2019,Americas,Belize,Female,67.3,67.3119
Healthy life expectancy (HALE) at birth (years),2019,Americas,Belize,Both,65.3,65.29337
Healthy life expectancy (HALE) at age 60 (years),2019,Americas,Belize,Both,16.7,16.69078
Healthy life expectancy (HALE) at birth (years),2019,Americas,Bolivia (Plurinational State of),Male,63.2,63.20565
Healthy life expectancy (HALE) at age 60 (years),2019,Americas,Bolivia (Plurinational State of),Male,14.0,13.96364
Healthy life expectancy (HALE) at birth (years),2019,Americas,Bolivia (Plurinational State of),Female,63.3,63.33981
Healthy life expectancy (HALE) at age 60 (years),2019,Americas,Bolivia (Plurinational State of),Female,14.4,14.36523
Healthy life expectancy (HALE) at age 60 (years),2019,Americas,Bolivia (Plurinational State of),Both,14.2,14.16826
Healthy life expectancy (HALE) at birth (years),2000,Americas,Brazil,Male,59.6,59.59667
Healthy life expectancy (HALE) at age 60 (years),2019,Americas,Brazil,Male,15.2,15.17915
Healthy life expectancy (HALE) at birth (years),2000,Americas,Brazil,Female,63.8,63.82217
Healthy life expectancy (HALE) at age 60 (years),2019,Americas,Brazil,Female,17.4,17.38738
Healthy life expectancy (HALE) at birth (years),2000,Americas,Brazil,Both,61.7,61.66495
Healthy life expectancy (HALE) at birth (years),2000,Americas,Barbados,Male,64.6,64.61119
Healthy life expectancy (HALE) at age 60 (years),2000,Americas,Barbados,Male,15.6,15.63959
Healthy life expectancy (HALE) at birth (years),2000,Americas,Barbados,Female,67.2,67.21629
Healthy life expectancy (HALE) at age 60 (years),2000,Americas,Barbados,Female,16.9,16.90858
Healthy life expectancy (HALE) at birth (years),2000,Americas,Barbados,Both,66.0,65.96368
Healthy life expectancy (HALE) at age 60 (years),2000,Americas,Barbados,Both,16.4,16.35189
Healthy life expectancy (HALE) at birth (years),2010,Americas,Barbados,Both,67.0,67.00449
Healthy life expectancy (HALE) at age 60 (years),2000,Western Pacific,Brunei Darussalam,Male,12.2,12.19992
Healthy life expectancy (HALE) at birth (years),2010,Western Pacific,Brunei Darussalam,Male,65.1,65.08941
Healthy life expectancy (HALE) at age 60 (years),2000,Western Pacific,Brunei Darussalam,Female,13.1,13.07065
Healthy life expectancy (HALE) at birth (years),2010,Western Pacific,Brunei Darussalam,Female,66.5,66.45836
Healthy life expectancy (HALE) at birth (years),2010,Western Pacific,Brunei Darussalam,Both,65.8,65.76172
Healthy life expectancy (HALE) at age 60 (years),2010,Western Pacific,Brunei Darussalam,Both,14.3,14.25568
Healthy life expectancy (HALE) at birth (years),2010,South-East Asia,Bhutan,Male,61.5,61.51297
Healthy life expectancy (HALE) at age 60 (years),2010,South-East Asia,Bhutan,Male,14.1,14.07852
Healthy life expectancy (HALE) at birth (years),2010,South-East Asia,Bhutan,Female,61.8,61.8331
Healthy life expectancy (HALE) at age 60 (years),2010,South-East Asia,Bhutan,Female,14.4,14.37973
Healthy life expectancy (HALE) at age 60 (years),2010,South-East Asia,Bhutan,Both,14.2,14.21184
Healthy life expectancy (HALE) at birth (years),2015,South-East Asia,Bhutan,Both,62.6,62.60034
Healthy life expectancy (HALE) at age 60 (years),2010,Africa,Botswana,Male,9.5,9.52547
Healthy life expectancy (HALE) at birth (years),2015,Africa,Botswana,Male,50.9,50.94351
Healthy life expectancy (HALE) at age 60 (years),2010,Africa,Botswana,Female,12.7,12.71273
Healthy life expectancy (HALE) at birth (years),2015,Africa,Botswana,Female,54.6,54.58551
Healthy life expectancy (HALE) at birth (years),2015,Africa,Botswana,Both,52.8,52.78075
Healthy life expectancy (HALE) at age 60 (years),2015,Africa,Botswana,Both,11.6,11.55499
Healthy life expectancy (HALE) at birth (years),2015,Africa,Central African Republic,Male,42.7,42.67318
Healthy life expectancy (HALE) at age 60 (years),2015,Africa,Central African Republic,Male,8.4,8.37994
Healthy life expectancy (HALE) at birth (years),2015,Africa,Central African Republic,Female,45.7,45.74077
Healthy life expectancy (HALE) at age 60 (years),2015,Africa,Central African Republic,Female,10.8,10.79386
Healthy life expectancy (HALE) at age 60 (years),2015,Africa,Central African Republic,Both,9.6,9.64603
Healthy life expectancy (HALE) at birth (years),2019,Africa,Central African Republic,Both,46.4,46.37131
Healthy life expectancy (HALE) at age 60 (years),2015,Americas,Canada,Male,18.0,18.04297
Healthy life expectancy (HALE) at birth (years),2019,Americas,Canada,Male,70.5,70.51
Healthy life expectancy (HALE) at age 60 (years),2015,Americas,Canada,Female,19.6,19.56315
Healthy life expectancy (HALE) at birth (years),2019,Americas,Canada,Female,72.0,71.97565
Healthy life expectancy (HALE) at age 60 (years),2019,Americas,Canada,Female,19.7,19.71827
Healthy life expectancy (HALE) at birth (years),2019,Americas,Canada,Both,71.3,71.25137
Healthy life expectancy (HALE) at age 60 (years),2019,Americas,Canada,Both,19.0,18.98503
Healthy life expectancy (HALE) at birth (years),2019,Europe,Switzerland,Male,72.2,72.1895
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Switzerland,Male,18.8,18.82055
Healthy life expectancy (HALE) at birth (years),2019,Europe,Switzerland,Female,72.8,72.82365
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Switzerland,Female,20.2,20.17538
Healthy life expectancy (HALE) at birth (years),2000,Europe,Switzerland,Both,69.3,69.28847
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Switzerland,Both,19.5,19.52081
Healthy life expectancy (HALE) at birth (years),2000,Americas,Chile,Male,65.4,65.43459
Healthy life expectancy (HALE) at age 60 (years),2019,Americas,Chile,Male,17.3,17.32495
Healthy life expectancy (HALE) at birth (years),2000,Americas,Chile,Female,68.5,68.47037
Healthy life expectancy (HALE) at birth (years),2000,Americas,Chile,Both,67.0,66.9956
Healthy life expectancy (HALE) at age 60 (years),2000,Americas,Chile,Both,16.4,16.38346
Healthy life expectancy (HALE) at birth (years),2000,Western Pacific,China,Male,62.7,62.71333
Healthy life expectancy (HALE) at age 60 (years),2000,Western Pacific,China,Male,13.3,13.26102
Healthy life expectancy (HALE) at birth (years),2000,Western Pacific,China,Female,64.9,64.86439
Healthy life expectancy (HALE) at age 60 (years),2000,Western Pacific,China,Female,14.9,14.87292
Healthy life expectancy (HALE) at age 60 (years),2000,Western Pacific,China,Both,14.0,14.03164
Healthy life expectancy (HALE) at birth (years),2010,Western Pacific,China,Both,66.7,66.67585
Healthy life expectancy (HALE) at age 60 (years),2000,Africa,Cote d'Ivoire,Male,9.7,9.69611
Healthy life expectancy (HALE) at birth (years),2010,Africa,Cote d'Ivoire,Male,48.5,48.51153
Healthy life expectancy (HALE) at age 60 (years),2000,Africa,Cote d'Ivoire,Female,12.2,12.2052
Healthy life expectancy (HALE) at birth (years),2010,Africa,Cote d'Ivoire,Female,50.7,50.70921
Healthy life expectancy (HALE) at birth (years),2010,Africa,Cote d'Ivoire,Both,49.5,49.4642
Healthy life expectancy (HALE) at age 60 (years),2010,Africa,Cote d'Ivoire,Both,11.6,11.63027
Healthy life expectancy (HALE) at birth (years),2010,Africa,Cameroon,Male,49.0,48.981
Healthy life expectancy (HALE) at age 60 (years),2010,Africa,Cameroon,Male,11.0,11.00226
Healthy life expectancy (HALE) at birth (years),2010,Africa,Cameroon,Female,50.2,50.16923
Healthy life expectancy (HALE) at age 60 (years),2010,Africa,Cameroon,Female,12.7,12.7133
Healthy life expectancy (HALE) at birth (years),2015,Africa,Cameroon,Female,52.7,52.67561
Healthy life expectancy (HALE) at age 60 (years),2010,Africa,Cameroon,Both,11.9,11.87908
Healthy life expectancy (HALE) at birth (years),2015,Africa,Cameroon,Both,51.8,51.78416
Healthy life expectancy (HALE) at age 60 (years),2010,Africa,Democratic Republic of the Congo,Male,10.8,10.7891
Healthy life expectancy (HALE) at birth (years),2015,Africa,Democratic Republic of the Congo,Male,51.3,51.28242
Healthy life expectancy (HALE) at age 60 (years),2010,Africa,Democratic Republic of the Congo,Female,12.5,12.53981
Healthy life expectancy (HALE) at birth (years),2015,Africa,Democratic Republic of the Congo,Female,53.6,53.64328
Healthy life expectancy (HALE) at age 60 (years),2015,Africa,Democratic Republic of the Congo,Female,13.1,13.09555
Healthy life expectancy (HALE) at birth (years),2015,Africa,Democratic Republic of the Congo,Both,52.4,52.43366
Healthy life expectancy (HALE) at age 60 (years),2015,Africa,Democratic Republic of the Congo,Both,12.3,12.25309
Healthy life expectancy (HALE) at birth (years),2015,Africa,Congo,Male,55.3,55.2912
Healthy life expectancy (HALE) at age 60 (years),2015,Africa,Congo,Male,11.8,11.75733
Healthy life expectancy (HALE) at age 60 (years),2015,Africa,Congo,Female,12.2,12.21424
Healthy life expectancy (HALE) at birth (years),2019,Africa,Congo,Female,56.1,56.11015
Healthy life expectancy (HALE) at age 60 (years),2015,Africa,Congo,Both,12.0,12.00815
Healthy life expectancy (HALE) at birth (years),2019,Africa,Congo,Both,56.2,56.2464
Healthy life expectancy (HALE) at age 60 (years),2015,Americas,Colombia,Male,16.8,16.75294
Healthy life expectancy (HALE) at birth (years),2019,Americas,Colombia,Male,67.4,67.4197
Healthy life expectancy (HALE) at birth (years),2019,Americas,Colombia,Female,70.5,70.47465
Healthy life expectancy (HALE) at age 60 (years),2019,Americas,Colombia,Female,18.9,18.93058
Healthy life expectancy (HALE) at birth (years),2019,Americas,Colombia,Both,69.0,68.96494
Healthy life expectancy (HALE) at age 60 (years),2019,Americas,Colombia,Both,18.1,18.06119
Healthy life expectancy (HALE) at birth (years),2019,Africa,Comoros,Male,58.3,58.27122
Healthy life expectancy (HALE) at age 60 (years),2019,Africa,Comoros,Male,13.2,13.24274
Healthy life expectancy (HALE) at age 60 (years),2019,Africa,Comoros,Female,14.1,14.09139
Healthy life expectancy (HALE) at birth (years),2000,Africa,Comoros,Both,53.8,53.76669
Healthy life expectancy (HALE) at age 60 (years),2019,Africa,Comoros,Both,13.7,13.68938
Healthy life expectancy (HALE) at birth (years),2000,Africa,Cabo Verde,Male,59.4,59.44102
Healthy life expectancy (HALE) at age 60 (years),2019,Africa,Cabo Verde,Male,13.0,13.0069
Healthy life expectancy (HALE) at birth (years),2000,Africa,Cabo Verde,Female,64.2,64.24406
Healthy life expectancy (HALE) at birth (years),2000,Africa,Cabo Verde,Both,62.0,61.98182
Healthy life expectancy (HALE) at age 60 (years),2000,Africa,Cabo Verde,Both,15.4,15.3693
Healthy life expectancy (HALE) at birth (years),2000,Americas,Costa Rica,Male,66.8,66.84241
Healthy life expectancy (HALE) at age 60 (years),2000,Americas,Costa Rica,Male,16.0,15.99794
Healthy life expectancy (HALE) at birth (years),2000,Americas,Costa Rica,Female,69.3,69.27589
Healthy life expectancy (HALE) at age 60 (years),2000,Americas,Costa Rica,Female,17.8,17.8352
Healthy life expectancy (HALE) at birth (years),2010,Americas,Costa Rica,Female,70.6,70.55448
Healthy life expectancy (HALE) at age 60 (years),2000,Americas,Costa Rica,Both,16.9,16.9266
Healthy life expectancy (HALE) at birth (years),2010,Americas,Costa Rica,Both,69.2,69.18748
Healthy life expectancy (HALE) at age 60 (years),2000,Americas,Cuba,Male,15.6,15.63362
Healthy life expectancy (HALE) at birth (years),2010,Americas,Cuba,Male,67.0,66.95629
Healthy life expectancy (HALE) at birth (years),2010,Americas,Cuba,Female,69.0,68.98356
Healthy life expectancy (HALE) at age 60 (years),2010,Americas,Cuba,Female,17.3,17.30464
Healthy life expectancy (HALE) at birth (years),2010,Americas,Cuba,Both,68.0,67.95462
Healthy life expectancy (HALE) at age 60 (years),2010,Americas,Cuba,Both,16.4,16.40417
Healthy life expectancy (HALE) at birth (years),2010,Europe,Cyprus,Male,70.0,70.02342
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Cyprus,Male,17.1,17.10612
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Cyprus,Female,18.7,18.70411
Healthy life expectancy (HALE) at birth (years),2015,Europe,Cyprus,Female,72.4,72.36806
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Cyprus,Both,17.9,17.93084
Healthy life expectancy (HALE) at birth (years),2015,Europe,Cyprus,Both,71.6,71.62617
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Czechia,Male,14.0,14.02324
Healthy life expectancy (HALE) at birth (years),2015,Europe,Czechia,Male,66.4,66.36488
Healthy life expectancy (HALE) at birth (years),2015,Europe,Czechia,Female,70.2,70.16754
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Czechia,Female,17.4,17.37338
Healthy life expectancy (HALE) at birth (years),2015,Europe,Czechia,Both,68.3,68.2914
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Czechia,Both,15.9,15.94686
Healthy life expectancy (HALE) at birth (years),2015,Europe,Germany,Male,69.3,69.27793
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Germany,Male,16.7,16.68916
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Germany,Female,18.7,18.69732
Healthy life expectancy (HALE) at birth (years),2019,Europe,Germany,Female,72.1,72.10513
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Germany,Both,17.7,17.72039
Healthy life expectancy (HALE) at birth (years),2019,Europe,Germany,Both,70.9,70.89113
Healthy life expectancy (HALE) at age 60 (years),2015,Eastern Mediterranean,Djibouti,Male,12.7,12.66505
Healthy life expectancy (HALE) at birth (years),2019,Eastern Mediterranean,Djibouti,Male,57.2,57.20602
Healthy life expectancy (HALE) at age 60 (years),2019,Eastern Mediterranean,Djibouti,Male,12.9,12.90791
Healthy life expectancy (HALE) at birth (years),2019,Eastern Mediterranean,Djibouti,Female,58.9,58.89907
Healthy life expectancy (HALE) at age 60 (years),2019,Eastern Mediterranean,Djibouti,Female,14.4,14.3693
Healthy life expectancy (HALE) at birth (years),2019,Eastern Mediterranean,Djibouti,Both,58.0,57.99794
Healthy life expectancy (HALE) at age 60 (years),2019,Eastern Mediterranean,Djibouti,Both,13.6,13.61386
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Denmark,Male,17.6,17.55581
Healthy life expectancy (HALE) at birth (years),2000,Europe,Denmark,Female,68.3,68.3408
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Denmark,Female,18.9,18.8612
Healthy life expectancy (HALE) at birth (years),2000,Europe,Denmark,Both,67.6,67.56724
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Denmark,Both,18.2,18.22544
Healthy life expectancy (HALE) at birth (years),2000,Americas,Dominican Republic,Male,62.1,62.12284
Healthy life expectancy (HALE) at birth (years),2000,Americas,Dominican Republic,Female,66.4,66.39418
Healthy life expectancy (HALE) at age 60 (years),2000,Americas,Dominican Republic,Female,18.7,18.7254
Healthy life expectancy (HALE) at birth (years),2000,Americas,Dominican Republic,Both,64.1,64.10495
Healthy life expectancy (HALE) at age 60 (years),2000,Americas,Dominican Republic,Both,17.3,17.33591
Healthy life expectancy (HALE) at birth (years),2000,Africa,Algeria,Male,62.6,62.62584
Healthy life expectancy (HALE) at age 60 (years),2000,Africa,Algeria,Male,14.6,14.55496
Healthy life expectancy (HALE) at age 60 (years),2000,Africa,Algeria,Female,14.7,14.73785
Healthy life expectancy (HALE) at birth (years),2010,Africa,Algeria,Female,65.2,65.215
Healthy life expectancy (HALE) at age 60 (years),2000,Africa,Algeria,Both,14.6,14.64573
Healthy life expectancy (HALE) at birth (years),2010,Africa,Algeria,Both,65.5,65.53103
Healthy life expectancy (HALE) at age 60 (years),2000,Americas,Ecuador,Male,16.1,16.09755
Healthy life expectancy (HALE) at birth (years),2010,Americas,Ecuador,Male,64.4,64.36207
Healthy life expectancy (HALE) at birth (years),2010,Americas,Ecuador,Female,67.3,67.30475
Healthy life expectancy (HALE) at age 60 (years),2010,Americas,Ecuador,Female,17.2,17.17292
Healthy life expectancy (HALE) at birth (years),2010,Americas,Ecuador,Both,65.8,65.79884
Healthy life expectancy (HALE) at age 60 (years),2010,Americas,Ecuador,Both,16.5,16.51178
Healthy life expectancy (HALE) at birth (years),2010,Eastern Mediterranean,Egypt,Male,60.9,60.9146
